"","District","Block","Village","mean","upper","lower"
"V1341_1","UDAIPUR","SARADA","BHALADIYA",15.6726747675011,11.010855057413,21.6594390890334
"V1342_1","UDAIPUR","SARADA","DEVPURA",52.7306108951845,33.1009158275585,61.6983442860069
"V1343_1","UDAIPUR","SARADA","RELA",25.6177592199794,9.95254521901163,28.1703868982302
"V1344_1","UDAIPUR","SARADA","PALODADA",64.4241241989805,56.143032675206,87.0347693483145
"V1345_1","UDAIPUR","SARADA","DEVALA",13.3168826617698,6.32876117042774,17.4191375593712
"V1346_1","UDAIPUR","SARADA","AMARPURA",5.13944142994367,-9.28987198572944,9.53026462077224
"V1347_1","UDAIPUR","SARADA","DHAWADIYA",12.7667697824115,-1.68415548290494,17.9040173434861
"V1348_1","UDAIPUR","SARADA","DANGIKHEDA",0.227308246916467,-10.6921542708246,5.19717021963841
"V1349_1","UDAIPUR","SARADA","NANDAVI",8.56910900681099,2.17989890195449,13.1897267094619
"V1350_1","UDAIPUR","SARADA","PILADAR",4.72767540050459,-0.896427705529021,19.7863141645554
"V1351_1","UDAIPUR","SARADA","CHANDA JI GUDA",6.33231402234957,-4.42223200547199,6.47502186922381
"V1352_1","UDAIPUR","SARADA","MUNDALA",25.6467158759678,19.2527614193292,32.3055204874387
"V1353_1","UDAIPUR","SARADA","JADOL",26.2035422842078,6.67061524162274,55.6878962774686
"V1354_1","UDAIPUR","SARADA","VEJPUR",16.5793937989141,14.3838728828914,32.1561771236121
"V1355_1","UDAIPUR","SARADA","BATUKA",29.4033771387564,18.7460249307252,43.6471497590769
"V1356_1","UDAIPUR","SARADA","VEER PURA",24.3937768845066,12.3458609264264,31.5400095621608
"V1357_1","UDAIPUR","SARADA","RAHATGURIYA",7.92841824351866,-10.5129255374336,13.5067397668724
"V1358_1","UDAIPUR","SARADA","BABA MAGARA",10.3514790605569,-1.30098981658102,20.138058726676
"V1359_1","UDAIPUR","SARADA","KARODIYA",16.8872366295702,12.4135316074195,21.8958156395303
"V1360_1","UDAIPUR","SARADA","BHATVADA",13.2458941633345,-3.25756441364679,17.9682295256014
"V1361_1","UDAIPUR","SARADA","LAL PURIYA",13.568120043958,3.55913707725576,21.951404389557
"V1362_1","UDAIPUR","SARADA","KANTODA",22.2311816511248,14.6275194695636,29.2790741874849
"V1363_1","UDAIPUR","SARADA","GATOD",39.8294813296344,30.0362502465801,52.1829843312521
"V1364_1","UDAIPUR","SARADA","SHYAM PURA JA",4.01326526647153,-39.5259259210738,31.193809697042
"V1365_1","UDAIPUR","SARADA","JAMBUDA1",20.127516898482,15.0472531245396,26.5376643994794
"V1366_1","UDAIPUR","SARADA","MAHUDI",8.11779499690414,2.46741579730776,17.4313579128009
"V1367_1","UDAIPUR","SARADA","PAHADI",28.7208207999406,19.94287335503,33.950629323062
"V1368_1","UDAIPUR","SARADA","BOOTVAS",17.8802311489632,8.47787306307844,23.4818123580158
"V1369_1","UDAIPUR","SARADA","PADARDA",24.7648621322498,14.3002182710188,35.1039552848598
"V1370_1","UDAIPUR","SARADA","THANA2",10.310087901944,1.86071828582775,22.5658740546062
"V1371_1","UDAIPUR","SARADA","BANDOLI",0.0562653932589702,-17.505108090148,4.30111492325434
"V1372_1","UDAIPUR","SARADA","LAL PURIYA1",12.448089276019,8.33142336209638,25.4576761821064
"V1373_1","UDAIPUR","SARADA","DINGARI",24.4229842839615,16.9701986881413,29.4289789125126
"V1374_1","UDAIPUR","SARADA","KER PURA",9.21859518494108,1.83587514261382,16.4424695987132
"V1375_1","UDAIPUR","SARADA","SAGATADA",20.7856361410239,5.98957825483262,25.1696171405578
"V1376_1","UDAIPUR","SARADA","CHOKDA LIMBDI",14.6426028599466,9.25648804500195,20.2323594828258
"V1377_1","UDAIPUR","SARADA","UDPURIYA JA.",18.5910016957539,11.4389540159441,26.5121271546675
"V1378_1","UDAIPUR","SARADA","UDPURIYA KHA",14.6737858767135,7.44801078094591,18.2382052438356
"V1379_1","UDAIPUR","SARADA","BEHUTI",31.7888351072995,24.4253001366419,37.7051315704476
"V1380_1","UDAIPUR","SARADA","DHAKARDA",13.3587967317167,-0.555460043543116,21.5543198149776
"V1381_1","UDAIPUR","SARADA","NIMBODA",50.2561674715761,33.5841109674921,60.4729965445717
"V1382_1","UDAIPUR","SARADA","VAYARI",34.6838254221851,14.6074157494234,39.8411993742332
"V1383_1","UDAIPUR","SARADA","LAL PURIYA2",22.4546296319701,-4.58257176092966,27.1368484969398
"V1384_1","UDAIPUR","SARADA","DARJAN PURA",6.03874905796612,-9.66653539789872,8.53935593253271
"V1385_1","UDAIPUR","SARADA","SHYAMPURA JHA",10.4376700225278,1.79502051449221,18.2032309591671
"V1386_1","UDAIPUR","SARADA","BHIMPUR1",13.7804763815065,2.51894405555318,19.0370921373747
"V1387_1","UDAIPUR","SARADA","NICHALA GUDA",21.0487499645332,5.46435157749551,61.5896330511531
"V1388_1","UDAIPUR","SARADA","UPLA GUDA",5.5451440621915,-10.6199301573174,7.25111240835133
